id,author_id,text,topic
cae6789d-aa34-4657-a6a8-6ce0289a1d10,1133768849902333952,waffler since gained high status nonthug slipping slope climbed feels comfortable thuggery,trump
dadee485-bfe5-45b6-9043-d1e4d6dce1eb,1464200571519442960,trump lost knew continued push conspiracy theories rallying supporters storm,trump
9cff9a20-c0b4-48c9-9483-61293ea60f54,869232952865153024,heard father goegans last roommate space open,trump
ad89c104-d477-496e-910b-5391ad2a9eb1,3760989197,dear reminder youre federal law enforcement agency private police force donald,trump
b376b931-333b-4274-a84c-45064b55a790,1440854345650630657,trump bannon,trump
6dfbfebb-86a4-406c-91c9-6708b33fc069,1229866015531634688,james coney thinks president biden pardon trump reminds idgaf comey thinks also hell,trump
e8fbe03f-9b84-4b32-bf1b-d298a98f57bf,1488236916394889216,agree amen love trump president,trump
99d5f6f1-464f-4cc7-b766-674e9a8c4706,281496963,endless drip drip drip revelatory details turnips capitol riot crimes finally starting chip away rankandfile gop suppo pol,trump
63158c89-6e7a-4b13-b509-1f1a10ea3f67,923234924844519424,wow doj confirmed trump took hundreds thousands dollars illegal foreign donations china,trump
6c1d9db6-ec4d-4eeb-8f0c-c67bb8f335eb,282837048,long live never understand many people willing destroy lives,trump
cd22b33f-722f-49ea-8b2f-21031705c147,1298373737335619585,republicans choice rid trump chose sho term political expediency instead hold,trump
8fecfd75-7f37-4939-b35e-85cee3f055df,1349498594194202624,wanting trump family supporters held accountable hatred wanting biden hateful sounds deeply delusional pa youre projecting know clan daily publicly prove foolish clan,trump
86c46b0d-0c19-430b-9b42-1010adbca897,1549759744067268608,think donald trumps interpretation marriage something card,trump
993596c2-eafc-4f5f-8f5b-be7fef01aba2,723866422300962816,gas prices never averaged entire year term bidengashike,trump
49a5dfbf-f3f0-4667-889c-c1721b7d3a6a,834741998045261824,breaking joe rogan called trump man baby fcking toddler podcast agrees,trump
3f4efc24-4606-4101-b89a-fef112dc8e9c,755509385988825088,save date trial jean carrolls defamation lawsuit trump set begin feb federal,trump
551f0445-1d42-49bb-8b3b-32961d6f13de,711487408,name eric lynn democratic nominee one competitive races america served senior,trump
a55e9447-91ef-4d28-bb4a-80b21411015c,3423731615,ambition greed two powerful motives,trump
4e608f01-ae6e-43ed-9d43-f66784e173db,971588363982602240,breaking news january committee announces secret service failed turn text messages,trump
a06904b2-b254-4eef-8e0d-90d867796c91,2721865789,donald trump tucker carlson sad unloved little boys determined make everyone world pay,trump
7ff71b28-8735-427d-94e1-eeacde042558,1521980991073513472,sicko hope non communists take zeal impeaching old joe cause dude sold china russia russia russia hoax mueller committee hoax jan committe hoax angery communist,trump
ac7f17d3-d313-4979-8cda-ce63308cf0b9,1138727461,trump administrations push add census citizenship question pa secret strategy alter population,trump
0070d7e6-20b2-4208-a652-32afebe609e1,1330629470546440195,joe rogan called donald trump said trump adderall presidency,trump
57de3ab9-bf34-47c1-803f-7d46d6083b54,1510959062225203204,trump authorized troops get facts straight sit,trump
78c677a6-9551-493c-8b80-dfc3e3491ce6,562108111,qanon still going like qanon kept going trump lost even,trump
2a9d87b3-4dc1-4e07-97ff-15cf33cc8f9d,21442060,ill say new zealand theres whole lot less bullshit news programs people know,trump
0bcacf8f-b25c-4061-b575-5e50381fb189,625012609,trump added trillion national debt biden already paid trillion,trump
ceac212b-7490-4c0a-8bd1-7ecdbc04aabe,949117222177378304,every person died covid trump administration died tho,trump
8465d99f-e757-47d3-bc1f-2299d0886b9d,18005208,none submit true true disciple speak one worships person one getting trump maga,trump
d5ae17ea-1d65-49c7-a7c8-aa5767f08bb4,1388665968629452802,donald trump compromised secret service,trump
e4957b93-5673-464c-975a-261fcf004312,1521934429555691520,breaking mitch mcconnell gives donald trump bad news predicts crowded field,trump
46283033-c902-47c3-9c9f-c0db1afa2ca5,1185284331905925120,breaking mitch mcconnell gives donald trump bad news predicts crowded field,trump
a75425ee-10ea-43f5-812c-0b9796730f66,973202896383864832,donald trump tucker carlson sad unloved little boys determined make everyone world pay,trump
22d00d6d-b5b0-43f4-9d04-73abdb056d13,151979317,car missed something,trump
d67e0607-1e4a-49c7-a95b-0282637d0570,1169658187957579777,save date trial jean carrolls defamation lawsuit trump set begin feb federal,trump
5f478fd1-4d8c-4514-9d67-a8a873b8eb83,1296077614113853444,damn trump even broke fucking secret service,trump
e64e3cc5-09f4-4f0a-9dfc-396d756b2da0,947605809596334080,trump didnt trust wray wanted fire multiple,trump
fe23c0ff-9e4b-4d7a-a5a6-f48ba3bb7004,833559776101494788,think reason text messages got disappeared prove plotting assassinate,trump
2e9db335-771d-4149-8031-b3e26ea6fc4e,30147737,believe needs said secret service agents deleted text covering trump need,trump
6d4485fc-fa39-4688-983c-947a2c1b9400,98172698,assembly speaker robin vos says former president trump called last week another push decertify,trump
31c3733c-2f08-4479-b29b-e9c36c33af08,1009433628546174977,joe rogan shining spotlight donald trumps adderall abuse someone msm please ask trump,trump
bd6a75b7-0038-4087-b74d-94ee44fa0200,90997415,name eric lynn democratic nominee one competitive races america served senior,trump
668f5ecd-9cd2-4139-a4ff-104b693c220c,2680464984,new wisconsin house speaker says trump called last ask overturn election,trump
ce28f5a3-6b8c-44d9-bab6-96200ff75d65,3273749714,new thanking law enforcement keeping safe arizona senate stand law enforcement,trump
072f6a2f-aa06-47d6-9c0a-3f22d4a6453c,536202862,trump added trillion national debt biden already paid trillion,trump
b308c49e-a809-4f4c-99f9-f553050af7a4,114299972,surprised,trump
7ea43be5-d2ff-4834-9a19-f343b48774ee,1168068764786667520,mitch ensure biden stole presidential election gop suppo people congress scotus put trump office day everyone knows landslide safety world today liberty calling patriotrap,trump
0f888803-3cd1-4fcb-afd8-959457bc6903,2850277725,difference trump jim jones trump would charge koolaid,trump
9e6f67ec-f61c-4062-8bb2-1b7bfc0c291e,210318675,remembered one false electors georgia target fulton county criminal,trump
bd3decb6-dc02-4e3f-b800-61e6326e25d9,2885214422,much probe trump sequel neverending story,trump
01ffe703-84e7-4632-90cd-4a6f94328fe6,1546625396300447751,never trump never trumpism youre please super follow suppo work access exclusive,trump
48603445-da10-4357-8a4b-b3b6639b097e,1024333763130490880,since trump got saudis cut oil production back april benefit friend putin probably much worst,trump
ad9ddf95-c772-453d-9f80-849b04b07097,1132351812881788929,georgia prosecutors tell alternate trump electors targets criminal probe,trump
f4dd2dbe-f41b-4a88-9808-57e605630e5b,1313636616909488129,want back michael cohens comment trump personally calling wisconsin dude,trump
bd1462f0-18b6-431e-ad42-4d40c3283c20,1537155630791794688,candidate capacity change mind admit might wrong something unthinkable,trump
ff9aa10d-be80-42d3-a2a1-6e5386f5166c,1327622033015001089,new documents released house oversight committee show trump administrations push citizenship question,trump
397efb1a-1c82-4350-9439-302eba53544c,2365160321,many federal agencies trump politicize job description loyalty litmus,trump
fc8b7821-0bb1-4fb7-a2e1-4555e2240827,1226935770969231361,tough time giving one disappointed cowardly compromised,trump
abf35aea-70a9-4d15-a314-8caddb22bf7f,244195955,republican base except top disinformed misinformed brainwashed beyond repair theyre gullible theyll believe anything socalled leaders say without questioning using logicreasoning skills consulting common,trump
9d45b168-585e-487b-9730-6c99ca4a8209,57433542,none trumps skill,trump
5188219a-9a28-436d-8d62-253581816a01,21159029,doj anything disgusted fed crimes committed one held accountable,trump
c81e787f-1ff9-4106-a300-f848a2d1c015,1201202594057719809,one still voted trump,trump
